Players,Wicket Status,Wicket Type,R_ball,B,M_ball,4s_ball,6s_ball,SR,Month,Day,Year,Ground_Played,Team_ball,O,M_bat,R_bat,W,Econ,0s,4s_bat,6s_bat,WD,NB,Team_bat
RC Fredericks,b Arnold,b,105.0,122.0,0.0,10.0,1.0,86.06,Sep,7,1973,"Kennington Oval, London",West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RGA Headley,c â Taylor b Arnold,c b,19.0,41.0,0.0,2.0,0.0,46.34,Sep,7,1973,"Kennington Oval, London",West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AI Kallicharran,not out,not out,53.0,94.0,0.0,4.0,0.0,56.38,Sep,7,1973,"Kennington Oval, London",West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DA Murray,not out,not out,1.0,4.0,0.0,0.0,0.0,25.0,Sep,7,1973,"Kennington Oval, London",West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AN Cook,lbw b MM Patel,lbw b,23.0,34.0,42.0,3.0,0.0,67.64,Sep,9,2011,"Kennington Oval, London",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C Kieswetter,b Jadeja,b,51.0,46.0,71.0,3.0,3.0,110.86,Sep,9,2011,"Kennington Oval, London",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IJL Trott,b Ashwin,b,11.0,25.0,30.0,0.0,0.0,44.0,Sep,9,2011,"Kennington Oval, London",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IR Bell,run out (â Dhoni),run out,23.0,25.0,31.0,2.0,0.0,92.0,Sep,9,2011,"Kennington Oval, London",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BA Stokes,b Ashwin,b,20.0,31.0,29.0,0.0,1.0,64.51,Sep,9,2011,"Kennington Oval, London",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RS Bopara,b Ashwin,b,40.0,41.0,52.0,4.0,0.0,97.56,Sep,9,2011,"Kennington Oval, London",England,2.0,0.0,16.0,0.0,8.0,6.0,3.0,0.0,1.0,0.0,England
TT Bresnan,b Jadeja,b,28.0,38.0,34.0,1.0,0.0,73.68,Sep,9,2011,"Kennington Oval, London",England,10.0,2.0,32.0,1.0,3.2,39.0,2.0,0.0,1.0,0.0,England
SCJ Broad,not out,not out,5.0,6.0,16.0,0.0,0.0,83.33,Sep,9,2011,"Kennington Oval, London",England,9.0,1.0,47.0,1.0,5.22,29.0,4.0,0.0,2.0,0.0,England
GP Swann,not out,not out,9.0,5.0,4.0,1.0,0.0,180.0,Sep,9,2011,"Kennington Oval, London",England,10.0,0.0,31.0,0.0,3.1,36.0,1.0,0.0,0.0,0.0,England
PA Patel,b Anderson,b,3.0,19.0,28.0,0.0,0.0,15.78,Sep,9,2011,"Kennington Oval, London",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AM Rahane,c Trott b Anderson,c b,0.0,3.0,3.0,0.0,0.0,0.0,Sep,9,2011,"Kennington Oval, London",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
R Dravid,run out (Anderson),run out,2.0,11.0,19.0,0.0,0.0,18.18,Sep,9,2011,"Kennington Oval, London",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
V Kohli,c â Kieswetter b Anderson,c b,7.0,18.0,18.0,0.0,0.0,38.88,Sep,9,2011,"Kennington Oval, London",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SK Raina,c â Kieswetter b Broad,c b,21.0,36.0,54.0,1.0,1.0,58.33,Sep,9,2011,"Kennington Oval, London",India,5.0,0.0,16.0,0.0,3.2,18.0,1.0,0.0,0.0,0.0,India
MS Dhoni,c Cook b Bresnan,c b,69.0,103.0,142.0,5.0,0.0,66.99,Sep,9,2011,"Kennington Oval, London",India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RA Jadeja,c Bell b Dernbach,c b,78.0,89.0,132.0,10.0,0.0,87.64,Sep,9,2011,"Kennington Oval, London",India,9.0,0.0,42.0,2.0,4.66,24.0,2.0,1.0,1.0,0.0,India
R Ashwin,not out,not out,36.0,19.0,32.0,5.0,0.0,189.47,Sep,9,2011,"Kennington Oval, London",India,9.0,0.0,40.0,3.0,4.44,26.0,2.0,0.0,0.0,0.0,India
P Kumar,not out,not out,1.0,2.0,2.0,0.0,0.0,50.0,Sep,9,2011,"Kennington Oval, London",India,4.0,0.0,20.0,0.0,5.0,16.0,0.0,2.0,1.0,0.0,India
LS Pascoe,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Aug,20,1980,"Kennington Oval, London",0,11.0,1.0,50.0,0.0,4.54,0.0,0.0,0.0,0.0,0.0,Australia
CM Old,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Aug,20,1980,"Kennington Oval, London",0,9.0,0.0,43.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,England
RD Jackman,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Aug,20,1980,"Kennington Oval, London",0,11.0,0.0,46.0,1.0,4.18,0.0,0.0,0.0,0.0,0.0,England
M Hendrick,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Aug,20,1980,"Kennington Oval, London",0,11.0,3.0,31.0,5.0,2.81,0.0,0.0,0.0,0.0,0.0,England
JM Anderson,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Aug,29,2008,"Kennington Oval, London",0,7.0,0.0,17.0,1.0,2.42,29.0,1.0,0.0,0.0,0.0,England
SJ Harmison,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Aug,29,2008,"Kennington Oval, London",0,9.0,1.0,28.0,1.0,3.11,37.0,3.0,0.0,0.0,0.0,England
JM Anderson,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Aug,31,2012,"Kennington Oval, London",0,9.4,0.0,44.0,4.0,4.55,34.0,5.0,0.0,1.0,0.0,England
ST Finn,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Aug,31,2012,"Kennington Oval, London",0,8.0,0.0,42.0,0.0,5.25,23.0,5.0,0.0,0.0,0.0,England
JW Dernbach,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Aug,31,2012,"Kennington Oval, London",0,9.0,0.0,44.0,3.0,4.88,29.0,6.0,0.0,0.0,0.0,England
CJ McKay,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,1,2012,"Kennington Oval, London",0,10.0,1.0,42.0,1.0,4.2,35.0,4.0,0.0,0.0,0.0,Australia
XJ Doherty,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,1,2012,"Kennington Oval, London",0,7.4,0.0,41.0,0.0,5.34,24.0,5.0,0.0,1.0,0.0,Australia
ST Finn,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,1,2012,"Kennington Oval, London",0,9.0,0.0,36.0,1.0,4.0,33.0,4.0,0.0,2.0,0.0,England
JW Dernbach,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,1,2012,"Kennington Oval, London",0,10.0,1.0,59.0,0.0,5.9,33.0,8.0,0.0,1.0,0.0,England
TT Bresnan,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,1,2012,"Kennington Oval, London",0,8.0,0.0,50.0,2.0,6.25,21.0,4.0,1.0,1.0,0.0,England
SCJ Broad,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,1,2012,"Kennington Oval, London",0,10.0,0.0,48.0,1.0,4.8,33.0,3.0,0.0,4.0,1.0,England
GP Swann,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,1,2012,"Kennington Oval, London",0,8.0,0.0,27.0,1.0,3.37,29.0,1.0,0.0,0.0,0.0,England
B Lee,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,12,2005,"Kennington Oval, London",0,10.0,0.0,46.0,1.0,4.6,0.0,0.0,0.0,3.0,1.0,Australia
GD McGrath,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,12,2005,"Kennington Oval, London",0,10.0,4.0,40.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Australia
MS Kasprowicz,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,12,2005,"Kennington Oval, London",0,10.0,1.0,46.0,2.0,4.6,0.0,0.0,0.0,2.0,0.0,Australia
JN Gillespie,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,12,2005,"Kennington Oval, London",0,10.0,1.0,44.0,3.0,4.4,0.0,0.0,0.0,0.0,1.0,Australia
A Symonds,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,12,2005,"Kennington Oval, London",0,6.0,1.0,26.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,Australia
MJ Clarke,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,12,2005,"Kennington Oval, London",0,4.0,0.0,25.0,0.0,6.25,0.0,0.0,0.0,2.0,0.0,Australia
SJ Harmison,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,12,2005,"Kennington Oval, London",0,9.5,0.0,81.0,0.0,8.23,0.0,0.0,0.0,4.0,2.0,England
D Gough,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,12,2005,"Kennington Oval, London",0,4.0,0.0,37.0,1.0,9.25,0.0,0.0,0.0,0.0,2.0,England
GG Arnold,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,15-16,1974,"Kennington Oval, London",0,7.0,0.0,20.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,England
CM Old,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,15-16,1974,"Kennington Oval, London",0,9.3,0.0,36.0,3.0,3.78,0.0,0.0,0.0,0.0,0.0,England
RD Jackman,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,15-16,1974,"Kennington Oval, London",0,11.0,1.0,41.0,3.0,3.72,0.0,0.0,0.0,0.0,0.0,England
DL Underwood,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,15-16,1974,"Kennington Oval, London",0,11.0,0.0,36.0,1.0,3.27,0.0,0.0,0.0,0.0,0.0,England
S Abid Ali,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,15-16,1974,"Kennington Oval, London",0,11.0,3.0,21.0,1.0,1.9,0.0,0.0,0.0,0.0,0.0,India
S Madan Lal,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,15-16,1974,"Kennington Oval, London",0,10.0,0.0,23.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,India
BC Strang,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,8,2000,"Kennington Oval, London",0,10.0,1.0,39.0,1.0,3.9,0.0,0.0,0.0,0.0,0.0,Zimbabwe
GB Brent,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,8,2000,"Kennington Oval, London",0,7.0,0.0,42.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe
DP Viljoen,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,8,2000,"Kennington Oval, London",0,10.0,0.0,45.0,2.0,4.5,0.0,0.0,0.0,1.0,0.0,Zimbabwe
PA Strang,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,8,2000,"Kennington Oval, London",0,10.0,0.0,36.0,3.0,3.6,0.0,0.0,0.0,0.0,0.0,Zimbabwe
MJ Hoggard,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jul,9,2002,"Kennington Oval, London",0,5.0,0.0,25.0,1.0,5.0,13.0,2.0,0.0,0.0,0.0,England
Mashrafe Mortaza,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,1,2017,"Kennington Oval, London",0,10.0,0.0,56.0,1.0,5.6,30.0,8.0,0.0,0.0,0.0,Bangladesh
Shakib Al Hasan,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,1,2017,"Kennington Oval, London",0,8.0,0.0,62.0,0.0,7.75,16.0,5.0,2.0,1.0,0.0,Bangladesh
Mustafizur Rahman,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,1,2017,"Kennington Oval, London",0,9.0,0.0,51.0,0.0,5.66,22.0,3.0,1.0,0.0,0.0,Bangladesh
Rubel Hossain,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,1,2017,"Kennington Oval, London",0,10.0,0.0,64.0,0.0,6.4,25.0,7.0,1.0,0.0,0.0,Bangladesh
CR Woakes,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,1,2017,"Kennington Oval, London",0,2.0,1.0,4.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,England
MA Wood,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,1,2017,"Kennington Oval, London",0,10.0,1.0,58.0,0.0,5.8,29.0,7.0,1.0,1.0,0.0,England
JT Ball,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,1,2017,"Kennington Oval, London",0,10.0,1.0,82.0,1.0,8.2,24.0,12.0,1.0,0.0,0.0,England
BA Stokes,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,1,2017,"Kennington Oval, London",0,7.0,0.0,42.0,1.0,6.0,17.0,5.0,0.0,1.0,0.0,England
LE Plunkett,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,1,2017,"Kennington Oval, London",0,10.0,0.0,59.0,4.0,5.9,27.0,7.0,0.0,2.0,0.0,England
MM Ali,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,1,2017,"Kennington Oval, London",0,8.0,1.0,40.0,0.0,5.0,24.0,0.0,2.0,1.0,0.0,England
DK Lillee,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,1975,"Kennington Oval, London",0,10.0,0.0,42.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,Australia
AA Mallett,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,1975,"Kennington Oval, London",0,12.0,0.0,72.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,Australia
MHN Walker,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,1975,"Kennington Oval, London",0,12.0,1.0,44.0,0.0,3.66,0.0,0.0,0.0,0.0,0.0,Australia
ARM Opatha,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,1975,"Kennington Oval, London",0,9.0,0.0,32.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0,Sri Lanka
DS de Silva,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,1975,"Kennington Oval, London",0,12.0,3.0,60.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka
LWS Kaluperuma,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,1975,"Kennington Oval, London",0,12.0,0.0,50.0,1.0,4.16,0.0,0.0,0.0,0.0,0.0,Sri Lanka
B Kumar,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,2013,"Kennington Oval, London",0,8.0,0.0,32.0,1.0,4.0,32.0,5.0,0.0,0.0,0.0,India
UT Yadav,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,2013,"Kennington Oval, London",0,9.0,0.0,54.0,1.0,6.0,31.0,7.0,1.0,1.0,0.0,India
I Sharma,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,2013,"Kennington Oval, London",0,10.0,1.0,43.0,1.0,4.3,41.0,4.0,2.0,1.0,0.0,India
R Ashwin,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,2013,"Kennington Oval, London",0,9.0,2.0,36.0,1.0,4.0,37.0,0.0,3.0,0.0,0.0,India
RA Jadeja,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,2013,"Kennington Oval, London",0,10.0,2.0,36.0,5.0,3.6,40.0,3.0,1.0,0.0,0.0,India
B Kumar,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,2017,"Kennington Oval, London",0,7.3,0.0,23.0,2.0,3.06,28.0,1.0,0.0,2.0,0.0,India
JJ Bumrah,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,2017,"Kennington Oval, London",0,8.0,0.0,28.0,2.0,3.5,32.0,3.0,0.0,2.0,0.0,India
R Ashwin,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,2017,"Kennington Oval, London",0,9.0,0.0,43.0,1.0,4.77,27.0,4.0,0.0,3.0,0.0,India
HH Pandya,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,2017,"Kennington Oval, London",0,10.0,0.0,52.0,1.0,5.2,29.0,3.0,1.0,3.0,0.0,India
RA Jadeja,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,11,2017,"Kennington Oval, London",0,10.0,0.0,39.0,1.0,3.9,25.0,0.0,0.0,0.0,0.0,India
TG Southee,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,12,2015,"Kennington Oval, London",0,9.0,0.0,68.0,0.0,7.55,24.0,9.0,1.0,1.0,0.0,New Zealand
TA Boult,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,12,2015,"Kennington Oval, London",0,10.0,1.0,53.0,2.0,5.3,36.0,6.0,1.0,2.0,0.0,New Zealand
MJ McClenaghan,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,12,2015,"Kennington Oval, London",0,9.0,0.0,61.0,2.0,6.77,29.0,6.0,2.0,1.0,0.0,New Zealand
NL McCullum,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,12,2015,"Kennington Oval, London",0,9.0,0.0,86.0,3.0,9.55,16.0,5.0,5.0,1.0,0.0,New Zealand
JM Anderson,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,13,2013,"Kennington Oval, London",0,10.0,0.0,51.0,2.0,5.1,30.0,5.0,0.0,2.0,0.0,England
GP Swann,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,13,2013,"Kennington Oval, London",0,10.0,0.0,50.0,1.0,5.0,27.0,1.0,2.0,0.0,0.0,England
SL Malinga,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,13,2013,"Kennington Oval, London",0,10.0,2.0,58.0,2.0,5.8,30.0,7.0,0.0,1.0,0.0,Sri Lanka
RMS Eranga,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,13,2013,"Kennington Oval, London",0,10.0,0.0,80.0,2.0,8.0,20.0,5.0,3.0,2.0,0.0,Sri Lanka
AD Mathews,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,13,2013,"Kennington Oval, London",0,6.0,0.0,28.0,0.0,4.66,18.0,2.0,0.0,0.0,0.0,Sri Lanka
HMRKB Herath,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,13,2013,"Kennington Oval, London",0,10.0,0.0,46.0,2.0,4.6,18.0,0.0,0.0,0.0,0.0,Sri Lanka
MA Wood,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,13,2018,"Kennington Oval, London",0,8.0,1.0,32.0,1.0,4.0,32.0,3.0,0.0,1.0,0.0,England
AU Rashid,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,13,2018,"Kennington Oval, London",0,10.0,0.0,36.0,2.0,3.6,31.0,1.0,0.0,1.0,0.0,England
BD Julien,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,14,1975,"Kennington Oval, London",0,12.0,2.0,31.0,1.0,2.58,0.0,0.0,0.0,0.0,0.0,West Indies
AME Roberts,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,14,1975,"Kennington Oval, London",0,10.4,1.0,39.0,3.0,3.65,0.0,0.0,0.0,0.0,0.0,West Indies
KD Boyce,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,14,1975,"Kennington Oval, London",0,11.0,0.0,38.0,2.0,3.45,0.0,0.0,0.0,0.0,0.0,West Indies
VA Holder,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,14,1975,"Kennington Oval, London",0,10.0,0.0,31.0,1.0,3.1,0.0,0.0,0.0,0.0,0.0,West Indies
CH Lloyd,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,14,1975,"Kennington Oval, London",0,4.0,1.0,19.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,West Indies
N Kapil Dev,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,15,1983,"Kennington Oval, London",0,12.0,0.0,46.0,1.0,3.83,0.0,0.0,0.0,0.0,0.0,India
S Madan Lal,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,15,1983,"Kennington Oval, London",0,12.0,0.0,47.0,1.0,3.91,0.0,0.0,0.0,0.0,0.0,India
JP Behrendorff,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,15,2019,"Kennington Oval, London",0,9.0,0.0,59.0,1.0,6.55,22.0,4.0,1.0,0.0,0.0,Australia
KW Richardson,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,15,2019,"Kennington Oval, London",0,9.0,1.0,47.0,3.0,5.22,32.0,6.0,0.0,2.0,0.0,Australia
DM de Silva,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,15,2019,"Kennington Oval, London",0,8.0,0.0,40.0,2.0,5.0,24.0,1.0,2.0,2.0,0.0,Sri Lanka
D Gough,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,16,2005,"Kennington Oval, London",0,8.2,0.0,33.0,2.0,3.96,35.0,3.0,0.0,0.0,3.0,England
J Lewis,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,16,2005,"Kennington Oval, London",0,10.0,0.0,32.0,3.0,3.2,41.0,1.0,0.0,1.0,0.0,England
SJ Harmison,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,16,2005,"Kennington Oval, London",0,10.0,0.0,39.0,4.0,3.9,37.0,3.0,0.0,2.0,1.0,England
PD Collingwood,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,16,2005,"Kennington Oval, London",0,8.0,0.0,36.0,0.0,4.5,25.0,1.0,2.0,0.0,0.0,England
A Flintoff,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,16,2005,"Kennington Oval, London",0,9.0,2.0,46.0,0.0,5.11,35.0,7.0,1.0,1.0,0.0,England
RMS Eranga,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,17,2013,"Kennington Oval, London",0,8.0,1.0,40.0,1.0,5.0,31.0,7.0,0.0,1.0,0.0,Sri Lanka
AME Roberts,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,18,1975,"Kennington Oval, London",0,11.0,3.0,18.0,2.0,1.63,0.0,0.0,0.0,0.0,0.0,West Indies
VA Holder,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,18,1975,"Kennington Oval, London",0,8.2,0.0,30.0,3.0,3.6,0.0,0.0,0.0,0.0,0.0,West Indies
KD Boyce,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,18,1975,"Kennington Oval, London",0,9.0,0.0,31.0,0.0,3.44,0.0,0.0,0.0,0.0,0.0,West Indies
Mohammad Amir,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,18,2017,"Kennington Oval, London",0,6.0,2.0,16.0,3.0,2.66,28.0,2.0,0.0,0.0,0.0,Pakistan
Junaid Khan,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,18,2017,"Kennington Oval, London",0,6.0,1.0,20.0,1.0,3.33,26.0,3.0,0.0,1.0,0.0,Pakistan
Hasan Ali,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,18,2017,"Kennington Oval, London",0,6.3,1.0,19.0,3.0,2.92,30.0,2.0,0.0,0.0,0.0,Pakistan
Shadab Khan,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,18,2017,"Kennington Oval, London",0,7.0,0.0,60.0,2.0,8.57,15.0,4.0,4.0,0.0,0.0,Pakistan
JM Anderson,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,19,2012,"Kennington Oval, London",0,10.0,2.0,38.0,2.0,3.8,41.0,2.0,2.0,1.0,0.0,England
ST Finn,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,19,2012,"Kennington Oval, London",0,10.0,1.0,48.0,1.0,4.8,38.0,7.0,0.0,3.0,0.0,England
TT Bresnan,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,19,2012,"Kennington Oval, London",0,10.0,1.0,54.0,1.0,5.4,33.0,2.0,4.0,1.0,0.0,England
GP Swann,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,19,2012,"Kennington Oval, London",0,10.0,1.0,49.0,1.0,4.9,36.0,3.0,3.0,0.0,0.0,England
SCJ Broad,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,19,2012,"Kennington Oval, London",0,9.0,0.0,43.0,2.0,4.77,31.0,5.0,0.0,0.0,1.0,England
JM Anderson,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,19,2013,"Kennington Oval, London",0,8.0,1.0,14.0,2.0,1.75,40.0,0.0,0.0,3.0,0.0,England
ST Finn,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,19,2013,"Kennington Oval, London",0,8.0,1.0,45.0,1.0,5.62,29.0,6.0,1.0,1.0,0.0,England
SCJ Broad,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,19,2013,"Kennington Oval, London",0,8.4,0.0,50.0,3.0,5.76,28.0,4.0,1.0,2.0,0.0,England
JC Tredwell,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,19,2013,"Kennington Oval, London",0,7.0,1.0,19.0,3.0,2.71,30.0,1.0,0.0,0.0,0.0,England
RS Bopara,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,19,2013,"Kennington Oval, London",0,4.0,0.0,19.0,0.0,4.75,15.0,3.0,0.0,0.0,0.0,England
Mustafizur Rahman,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,2,2019,"Kennington Oval, London",0,10.0,0.0,67.0,3.0,6.7,30.0,6.0,2.0,2.0,0.0,Bangladesh
Mehidy Hasan Miraz,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,2,2019,"Kennington Oval, London",0,10.0,0.0,44.0,1.0,4.4,27.0,3.0,0.0,0.0,0.0,Bangladesh
Mohammad Saifuddin,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,2,2019,"Kennington Oval, London",0,8.0,1.0,57.0,2.0,7.12,17.0,7.0,0.0,2.0,1.0,Bangladesh
Shakib Al Hasan,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,2,2019,"Kennington Oval, London",0,10.0,0.0,50.0,1.0,5.0,21.0,2.0,0.0,0.0,0.0,Bangladesh
Mashrafe Mortaza,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,2,2019,"Kennington Oval, London",0,6.0,0.0,49.0,0.0,8.16,6.0,5.0,0.0,0.0,0.0,Bangladesh
L Ngidi,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,2,2019,"Kennington Oval, London",0,4.0,0.0,34.0,0.0,8.5,12.0,7.0,0.0,0.0,0.0,South Africa
MA Holding,0,None,0.0,0.0,0.0,0.0,0.0,0.0,Jun,20,1979,"Kennington Oval, London",0,9.0,1.0,28.0,1.0,3.11,0.0,0.0,0.0,0.0,0.0,West Indies
